airport	runway	bbox	lat1	lng1	lat2	lng2
OMDB	12R	{lat:25.255963791384545,lng:55.3581550038774},{lat:25.256424208451563,lng:55.358466996713965},{lat:25.24597538431399,lng:55.37731463981747},{lat:25.2455150068472,lng:55.37700260238716},	25.256194	55.358311	25.235294	55.396003
OMDB	30L	{lat:25.235524168857864,lng:55.39615904128273},{lat:25.23506383097824,lng:55.395846959308145},{lat:25.2455150068472,lng:55.37700260238716},{lat:25.24597538431399,lng:55.37731463981747},	25.235294	55.396003	25.256194	55.358311
OMDB	30R	{lat:25.24652716363226,lng:55.38363106483119},{lat:25.246066836203752,lng:55.38331893576005},{lat:25.256291461575735,lng:55.364883009619696},{lat:25.25675182775144,lng:55.365195095096105},	25.246297	55.383475	25.266744	55.346600
OOMS	08L	{lat:23.605639032554844,lng:58.25799476386286},{lat:23.606176967440906,lng:58.25794323603145},{lat:23.607746191636856,lng:58.27746954223651},{lat:23.607208250312013,lng:58.27752099056464},	23.605908	58.257969	23.609044	58.297022
OOMS	26R	{lat:23.60931297387496,lng:58.296996315540234},{lat:23.60877502612081,lng:58.29704768435437},{lat:23.60720825031201,lng:58.27752099056464},{lat:23.60774619163685,lng:58.27746954223651},	23.609044	58.297022	23.605908	58.257969
OPIS	10L	{lat:33.55285063877421,lng:72.80642709109979},{lat:33.55324936120957,lng:72.80651690910746},{lat:33.55021486462194,lng:72.8259026334252},{lat:33.54981615619075,lng:72.82581272910882},	33.553050	72.806472	33.546978	72.845242
OPIS	10R	{lat:33.55092363454665,lng:72.80599822071066},{lat:33.55145436542462,lng:72.80611777965652},{lat:33.5484198662442,lng:72.82550201815233},{lat:33.547889154005574,lng:72.82538234434027},	33.551189	72.806058	33.545117	72.844825
OPIS	28L	{lat:33.54538234677736,lng:72.84488489450604},{lat:33.5448516531938,lng:72.84476510586175},{lat:33.54788915400559,lng:72.82538234434027},{lat:33.54841986624422,lng:72.82550201815233},	33.545117	72.844825	33.551189	72.806058
OPIS	28R	{lat:33.54717734719946,lng:72.84528699540357},{lat:33.54677865278427,lng:72.84519700480404},{lat:33.54981615619075,lng:72.82581272910882},{lat:33.55021486462195,lng:72.8259026334252},	33.546978	72.845242	33.553050	72.806472
OPKC	07L	{lat:24.90449466531895,lng:67.14756734883966},{lat:24.904893334655956,lng:67.14744465096217},{lat:24.908754116401003,lng:67.16269669651938},{lat:24.908355434590348,lng:67.16281934895783},	24.904694	67.147506	24.912414	67.178011
OPKC	07R	{lat:24.900401684923043,lng:67.14271636175552},{lat:24.900792315052673,lng:67.14259563805346},{lat:24.90491019632202,lng:67.15879512122426},{lat:24.904519553158714,lng:67.15891579767982},	24.900597	67.142656	24.908831	67.175056
OPKC	25L	{lat:24.909026328085034,lng:67.17499568530862},{lat:24.908635671890707,lng:67.17511631450041},{lat:24.904519553158703,lng:67.15891579767982},{lat:24.90491019632201,lng:67.15879512122426},	24.908831	67.175056	24.900597	67.142656
OPKC	25R	{lat:24.912613347128413,lng:67.17794969640903},{lat:24.912214652846522,lng:67.17807230339285},{lat:24.908355434590348,lng:67.16281934895783},{lat:24.908754116401003,lng:67.16269669651938},	24.912414	67.178011	24.904694	67.147506
