airport	runway	bbox
RJAA	16R	{lat:35.774252407400226,lng:140.36800493671404},{lat:35.77452559191761,lng:140.36857906427215},{lat:35.75899258653126,lng:140.37980471871663},{lat:35.75871945535741,lng:140.37923066471825}
RJAA	34L	{lat:35.743458538593025,lng:140.3910259907247},{lat:35.74318546072539,lng:140.39045201025974},{lat:35.75871945535741,lng:140.37923066471825},{lat:35.75899258653126,lng:140.37980471871663}
RJBB	06L	{lat:34.42836261750172,lng:135.20640967140855},{lat:34.42878138215063,lng:135.20599632755602},{lat:34.44013257439644,lng:135.22290354484082},{lat:34.43971375286441,lng:135.22331686010878}
RJBB	06R	{lat:34.417168577228246,lng:135.22948458376115},{lat:34.41758742242445,lng:135.2290714152041},{lat:34.427515838022494,lng:135.24386417073177},{lat:34.42709694308602,lng:135.24427731424035}
RJBB	24L	{lat:34.43744247217244,lng:135.2586604402759},{lat:34.43702352748024,lng:135.25907355868853},{lat:34.42709694308604,lng:135.24427731424035},{lat:34.427515838022494,lng:135.24386417073177}
RJBB	24R	{lat:34.45148143904385,lng:135.2398153561712},{lat:34.45106256060848,lng:135.24022864279246},{lat:34.43971375286441,lng:135.22331686010878},{lat:34.44013257439644,lng:135.22290354484082}
RJCC	01L	{lat:42.761673609046696,lng:141.69318972340065},{lat:42.76160438979602,lng:141.6924602770068},{lat:42.775001406527934,lng:141.6901012098695},{lat:42.77507064075108,lng:141.69083081140977}
RJCC	19R	{lat:42.788398374817895,lng:141.68774112180876},{lat:42.788467624023724,lng:141.68847087859947},{lat:42.77507064075108,lng:141.69083081140977},{lat:42.77500140652794,lng:141.6901012098695}
RJCC	01R	{lat:42.762020589301635,lng:141.6968227289183},{lat:42.76195140954101,lng:141.69609327148896},{lat:42.77534192622948,lng:141.69373670360358},{lat:42.77541112094697,lng:141.69446631611126}
RJCC	19L	{lat:42.78873239457852,lng:141.69137911635895},{lat:42.78880160426306,lng:141.692108884049},{lat:42.77541112094697,lng:141.69446631611126},{lat:42.77534192622948,lng:141.69373670360358}
RJFF	16	{lat:33.596785412554205,lng:130.4429043047926},{lat:33.597052586807436,lng:130.44346769608006},{lat:33.58607679602448,lng:130.45096862592504},{lat:33.5858096557625,lng:130.45040528308658}
RJFF	34	{lat:33.57510055282492,lng:130.45846764763778},{lat:33.574833446537156,lng:130.45790435323377},{lat:33.5858096557625,lng:130.45040528308658},{lat:33.58607679602448,lng:130.45096862592504}
RJGG	18	{lat:34.87383974441038,lng:136.8013521179649},{lat:34.87394425473609,lng:136.80199788244556},{lat:34.85846930152589,lng:136.8057180237892},{lat:34.85836481086503,lng:136.80507237608967}
RJGG	36	{lat:34.84299423507916,lng:136.80943676570686},{lat:34.84288976406827,lng:136.80879123470282},{lat:34.85836481086503,lng:136.80507237608967},{lat:34.85846930152589,lng:136.8057180237892}
RJNK	06	{lat:36.386766872039274,lng:136.39531158097816},{lat:36.38709912778647,lng:136.39502241840398},{lat:36.39405977779598,lng:136.4073658265227},{lat:36.39372749229866,lng:136.4076549622297}
RJNK	24	{lat:36.40101915753903,lng:136.41971144528503},{lat:36.400686842286774,lng:136.42000055409682},{lat:36.39372749229866,lng:136.4076549622297},{lat:36.39405977779598,lng:136.4073658265227}
RJSS	09	{lat:38.13857088307832,lng:140.89875558071236},{lat:38.138973116912105,lng:140.89868841910246},{lat:38.140724342012575,lng:140.9156550581272},{lat:38.14032209852512,lng:140.9157221278189}
RJSS	27	{lat:38.14247312655949,lng:140.93262251102945},{lat:38.14207087343099,lng:140.93268948878594},{lat:38.14032209852512,lng:140.9157221278189},{lat:38.140724342012575,lng:140.9156550581272}
RJSS	12	{lat:38.139278553541054,lng:140.9146267527891},{lat:38.139637446336366,lng:140.91486724780233},{lat:38.137125095819044,lng:140.92092746720786},{lat:38.13676621537984,lng:140.92068695066996}
RJSS	30	{lat:38.134612433980244,lng:140.92698726932358},{lat:38.13425356589713,lng:140.9267467312678},{lat:38.13676621537984,lng:140.92068695066996},{lat:38.137125095819044,lng:140.92092746720786}
RJTT	04	{lat:35.548864428475504,lng:139.76155009112915},{lat:35.54917357091328,lng:139.7610059078218},{lat:35.55839784753376,lng:139.76892298057894},{lat:35.558088669523016,lng:139.76946719597169}
